Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BKTI,"BK Technologies Corporation Common Stock",$89.50,3.52,4.094%,334,035,570,"",,,"",""
PLG,"Platinum Group Metals Ltd. Ordinary Shares (Canada)",$2.70,0.10,3.846%,333,193,605,"",,,"",""
FJET,"Starfighters Space, Inc. Common Stock",$7.20,0.28,4.046%,316,407,398,"",,,"",""
EXOD,"Exodus Movement, Inc. Class A Common Stock",$10.45,-0.18,-1.693%,310,515,898,"",,,"",""
ELLO,"Ellomay Capital Ltd Ordinary Shares (Israel)",$23.41,-0.89,-3.663%,300,879,015,"",,,"",""
CIX,"CompX International Inc. Common Stock",$24.07,-0.20,-0.824%,296,615,982,"",,,"",""
REI,"Ring Energy, Inc. Common Stock",$1.33,0.04,3.101%,275,606,825,"",,,"",""
EVI,"EVI Industries, Inc.  Common Stock",$20.42,0.08,0.393%,262,645,083,"",,,"",""
MINE,"Mayfair Gold Corp. Common Shares",$3.91,0.01,0.256%,261,178,596,"",,,"",""
GORO,"Gold Resource Corporation Common Stock",$1.57,0.18,12.95%,253,972,125,"",,,"",""
FTF,"Franklin Limited Duration Income Trust Common Shares of Beneficial Interest",$6.09,-0.005,-0.082%,246,068,728,"",,,"",""
PLX,"Protalix BioTherapeutics, Inc. (DE) Common Stock",$3.01,-0.02,-0.66%,242,067,755,"",,,"",""
GENC,"Gencor Industries, Inc. Common Stock",$16.06,0.07,0.438%,235,402,694,"",,,"",""
VENU,"Venu Holding Corporation Common Stock",$5.33,-0.03,-0.56%,228,377,399,"",,,"",""
LODE,"Comstock Inc. Common Stock",$3.14,0.05,1.618%,224,107,666,"",,,"",""
PZG,"Paramount Gold Nevada Corp. Common Stock",$2.51,0.08,3.292%,210,371,237,"",,,"",""
GTE,"Gran Tierra Energy Inc. Common Stock",$5.93,0.04,0.679%,209,263,681,"",,,"",""
STXS,"Stereotaxis, Inc. Common Stock",$2.21,0.01,0.455%,206,247,726,"",,,"",""
FLYX,"flyExclusive, Inc. Class A Common Stock",$2.18,-0.04,-1.802%,203,547,422,"",,,"",""
ELMD,"Electromed, Inc. Common Stock",$24.07,0.15,0.627%,199,186,784,"",,,"",""
OZ,"Belpointe PREP, LLC Class A Units",$49.76,0.26,0.525%,193,624,968,"",,,"",""
MPTI,"M-tron Industries, Inc. Common Stock",$65.78,-1.64,-2.433%,192,722,112,"",,,"",""
INFU,"InfuSystems Holdings, Inc. Common Stock",$9.19,0.63,7.36%,186,889,522,"",,,"",""
NEN,"New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership",$65.00,UNCH,--,183,061,125,"",,,"",""
ESP,"Espey Mfg. & Electronics Corp. Common Stock",$59.36,0.86,1.47%,175,636,920,"",,,"",""
ACU,"Acme United Corporation. Common Stock",$45.88,0.41,0.902%,174,652,497,"",,,"",""
LGCY,"Legacy Education Inc. Common Stock",$13.52,0.02,0.148%,170,528,923,"",,,"",""
CMT,"Core Molding Technologies Inc Common Stock",$19.17,-0.25,-1.287%,169,806,077,"",,,"",""
STRW,"Strawberry Fields REIT, Inc. Common Stock",$12.78,-0.18,-1.389%,167,674,814,"",,,"",""
COE,"51Talk Online Education Group American depositary shares, each representing 60 Class A ordinary shares",$28.00,0.50,1.818%,164,065,300,"",,,"",""
GRO,"Brazil Potash Corp. Common Shares",$3.05,-0.04,-1.294%,162,769,621,"",,,"",""
MRT,"Marti Technologies, Inc. Class A Ordinary Shares",$2.04,-0.02,-0.971%,160,565,289,"",,,"",""
EPM,"Evolution Petroleum Corporation, Inc. Common Stock",$4.37,0.03,0.691%,152,966,798,"",,,"",""
USBC,"USBC, Inc. Common Stock",$0.3888,0.0028,0.725%,150,910,262,"",,,"",""
MCRP,"Micropolis AI Robotics Ordinary Shares",$4.30,0.30,7.50%,150,020,322,"",,,"",""
FURY,"Fury Gold Mines Limited Common Shares",$0.7891,0.0271,3.556%,149,252,977,"",,,"",""
LUD,"Luda Technology Group Limited Ordinary Shares",$6.32,UNCH,--,143,400,800,"",,,"",""
AREN,"The Arena Group Holdings, Inc. Common Stock",$3.02,-0.02,-0.658%,143,346,562,"",,,"",""
KULR,"KULR Technology Group, Inc. Common Stock",$2.93,UNCH,--,133,848,339,"",,,"",""
AGIG,"Abundia Global Impact Group Inc. Common stock",$3.48,0.05,1.458%,131,043,858,"",,,"",""
CITR,"CitroTech Inc. Common Stock",$6.90,-0.08,-1.146%,129,742,287,"",,,"",""
GLU,"Gabelli Global Utility Common Shares of Beneficial Ownership",$21.62,0.173,0.807%,129,047,856,"",,,"",""
INTT,"inTest Corporation Common Stock",$9.99,-0.23,-2.25%,124,709,496,"",,,"",""
TGEN,"Tecogen Inc. Common Stock",$3.87,0.11,2.926%,115,505,874,"",,,"",""
EP,"Empire Petroleum Corporation Common Stock",$3.06,-0.14,-4.375%,107,719,671,"",,,"",""
BUDA,"Buda Juice, Inc. Common Stock",$8.50,-0.20,-2.299%,107,666,670,"",,,"",""
WWR,"Westwater Resources, Inc. Common Stock",$0.906,-0.034,-3.617%,106,898,454,"",,,"",""
LPA,"Logistic Properties of the Americas Ordinary Shares",$2.57,-0.03,-1.154%,93,967,493,"",,,"",""
CTM,"Castellum, Inc. Common Stock",$0.9894,0.0454,4.809%,93,609,855,"",,,"",""
