Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$11.86,-0.19,-1.577%,174,569,989,951,"",,,"",""
TJX,"TJX Companies, Inc. (The) Common Stock",$154.46,0.28,0.182%,171,522,747,494,"",,,"",""
TTE,"TotalEnergies SE Ordinary Shares",$76.79,0.67,0.88%,167,545,167,929,"",,,"",""
SCHW,"Charles Schwab Corporation (The) Common Stock",$93.72,-1.36,-1.43%,166,534,514,084,"",,,"",""
UL,"Unilever PLC American Depositary Shares (each representing One Ordinary Share)",$74.59,1.13,1.538%,166,531,901,536,"",,,"",""
HDB,"HDFC Bank Limited Common Stock",$32.52,-0.34,-1.035%,166,438,222,008,"",,,"",""
BLK,"BlackRock, Inc. Common Stock",$1,071.51,15.88,1.504%,166,245,750,503,"",,,"",""
DE,"Deere & Company Common Stock",$602.92,4.81,0.804%,163,056,962,876,"",,,"",""
TD,"Toronto Dominion Bank (The) Common Stock",$95.32,-0.31,-0.324%,162,730,685,280,"",,,"",""
LOW,"Lowe's Companies, Inc. Common Stock",$287.39,1.86,0.651%,161,211,839,227,"",,,"",""
SCCO,"Southern Copper Corporation Common Stock",$198.00,0.15,0.076%,160,813,982,340,"",,,"",""
TBB,"AT&T Inc. 5.350% Global Notes due 2066",$22.42,0.06,0.268%,160,311,642,462,"",,,"",""
PFE,"Pfizer, Inc. Common Stock",$27.58,0.11,0.40%,156,811,814,284,"",,,"",""
UNP,"Union Pacific Corporation Common Stock",$260.68,-1.09,-0.416%,154,685,285,793,"",,,"",""
SMFG,"Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)",$23.81,0.07,0.295%,154,147,743,917,"",,,"",""
ETN,"Eaton Corporation, PLC Ordinary Shares",$389.25,-1.08,-0.277%,151,184,700,000,"",,,"",""
DHR,"Danaher Corporation Common Stock",$212.58,-2.36,-1.098%,150,155,790,103,"",,,"",""
LMT,"Lockheed Martin Corporation Common Stock",$652.58,15.15,2.377%,150,145,763,019,"",,,"",""
ACN,"Accenture plc Class A Ordinary Shares (Ireland)",$224.23,2.18,0.982%,148,088,788,893,"",,,"",""
UBER,"Uber Technologies, Inc. Common Stock",$69.99,-1.23,-1.727%,145,427,348,366,"",,,"",""
WELL,"Welltower Inc. Common Stock",$210.72,2.58,1.24%,144,623,045,221,"",,,"",""
BUD,"Anheuser-Busch Inbev SA Sponsored ADR (Belgium)",$80.39,0.19,0.237%,144,476,789,264,"",,,"",""
SYK,"Stryker Corporation Common Stock",$366.05,0.20,0.055%,140,083,189,484,"",,,"",""
SONY,"Sony Group Corporation American Depositary Shares ",$23.19,0.32,1.399%,139,719,803,221,"",,,"",""
COP,"ConocoPhillips Common Stock",$111.43,0.60,0.541%,137,696,084,598,"",,,"",""
NEM,"Newmont Corporation",$125.80,7.68,6.502%,137,280,883,010,"",,,"",""
UBS,"UBS Group AG Registered Ordinary Shares",$41.99,-0.27,-0.639%,133,310,912,289,"",,,"",""
COF,"Capital One Financial Corporation Common Stock",$207.37,0.48,0.232%,131,832,077,669,"",,,"",""
BBVA,"Banco Bilbao Vizcaya Argentaria S.A. Common Stock",$22.73,-0.60,-2.572%,130,999,478,619,"",,,"",""
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",$59.50,-1.11,-1.831%,129,819,781,903,"",,,"",""
PLD,"Prologis, Inc. Common Stock",$138.97,2.59,1.899%,129,084,646,990,"",,,"",""
CB,"Chubb Limited  Common Stock",$324.95,-7.56,-2.274%,127,884,351,632,"",,,"",""
MDT,"Medtronic plc. Ordinary Shares",$99.49,-1.39,-1.378%,127,547,593,554,"",,,"",""
PH,"Parker-Hannifin Corporation Common Stock",$1,001.75,19.54,1.989%,126,437,407,926,"",,,"",""
MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$9.90,-0.12,-1.198%,124,385,908,185,"",,,"",""
BMY,"Bristol-Myers Squibb Company Common Stock",$60.74,0.88,1.47%,123,695,412,842,"",,,"",""
RIO,"Rio Tinto Plc Common Stock",$98.07,0.16,0.163%,123,008,448,411,"",,,"",""
SPGI,"S&P Global Inc. Common Stock",$409.54,12.34,3.107%,122,370,552,000,"",,,"",""
HCA,"HCA Healthcare, Inc. Common Stock",$540.29,5.07,0.947%,120,820,838,438,"",,,"",""
GSK,"GSK plc American Depositary Shares (Each representing two Ordinary Shares)",$58.93,0.39,0.666%,120,182,581,807,"",,,"",""
PGR,"Progressive Corporation (The) Common Stock",$204.53,-0.92,-0.448%,119,935,826,679,"",,,"",""
ENB,"Enbridge Inc Common Stock",$53.88,2.04,3.935%,117,527,130,028,"",,,"",""
MCK,"McKesson Corporation Common Stock",$934.75,18.75,2.047%,114,495,149,496,"",,,"",""
GLW,"Corning Incorporated Common Stock",$133.46,1.96,1.49%,114,423,318,450,"",,,"",""
MO,"Altria Group, Inc.",$67.25,0.24,0.358%,112,890,661,872,"",,,"",""
NOW,"ServiceNow, Inc. Common Stock",$107.08,3.79,3.669%,112,005,680,000,"",,,"",""
BSX,"Boston Scientific Corporation Common Stock",$74.73,0.61,0.823%,110,782,893,574,"",,,"",""
IBN,"ICICI Bank Limited Common Stock",$30.62,-0.64,-2.047%,109,245,109,929,"",,,"",""
AEM,"Agnico Eagle Mines Limited Common Stock",$216.59,11.38,5.546%,108,882,916,228,"",,,"",""
BN,"Brookfield Corporation Class A Limited Voting Shares",$47.79,0.12,0.252%,107,304,657,954,"",,,"",""
SO,"Southern Company (The) Common Stock",$94.95,2.39,2.582%,104,549,904,843,"",,,"",""
